,0,1,2,3,4,5,6,7,8,9,10
173,S0107755,야식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718889,평화장미길
174,S0107757,돈까스/일식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343254,신흥로239번길
175,S0107758,야식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503181053,호동로
176,S0107761,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343093,동일로454번길
177,S0107762,분식,2635010500,부산광역시,해운대구,우동,\N,2635052000,우2동,263503133017,센텀7로
178,S0107775,치킨,2644010400,부산광역시,강서구,명지동,\N,2644053500,명지1동,264403350859,명지국제6로
179,S0107778,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181035,용민로
180,S0107779,야식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343275,오목로14번길
181,S0107780,돈까스/일식,2823710700,인천광역시,부평구,부개동,\N,2823766000,부개2동,282373154027,부평문화로
182,S0107782,한식,4617010200,전라남도,나주시,송월동,\N,4617051000,송월동,461704652092,내동길
183,S0107785,한식,4139012300,경기도,시흥시,산현동,\N,4139057000,목감동,413904853497,산현마을길
184,S0107786,피자,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503181053,호동로
185,S0107787,피자,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503181053,호동로
186,S0107788,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
187,S0107789,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
188,S0107790,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
189,S0107791,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
190,S0107792,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
191,S0107793,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
192,S0107794,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
193,S0107795,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
194,S0107796,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
195,S0107797,한식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343342,청사로47번길
196,S0107799,피자,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503181053,호동로
197,S0107800,카페/디저트,4139012400,경기도,시흥시,조남동,\N,4139057000,목감동,413903350920,목감둘레로
198,S0107801,돈까스/일식,4127110400,경기도,안산시 상록구,본오동,\N,4127154000,본오1동,412713190040,석호로
199,S0107802,카페/디저트,4163011000,경기도,양주시,덕정동,\N,4163053000,회천1동,416303212010,독바위로
200,S0107803,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
201,S0107804,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
202,S0107805,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
203,S0107806,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
204,S0107807,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
205,S0107808,야식,4157010900,경기도,김포시,구래동,\N,4157057000,구래동,415704838104,김포한강9로76번길
206,S0107812,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411503181035,용민로
207,S0107813,배달전문업체,4128112300,경기도,고양시 덕양구,화정동,\N,4128162100,화정1동,412814376369,화중로130번길
208,S0107815,야식,4122025330,경기도,평택시,안중읍,현화리,4122025300,안중읍,412204364465,안현로서3길
209,S0107816,분식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
210,S0107818,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471503306005,김천로
211,S0107825,한식,4817011900,경상남도,진주시,상대동,\N,4817067300,상대동,481704796416,돗골로153번길
212,S0107826,분식,4163011600,경기도,양주시,덕계동,\N,4163054000,회천2동,\N,\N
213,S0107828,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343293,용현로150번길
214,S0107829,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343293,용현로150번길
215,S0107830,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343293,용현로150번길
216,S0107831,찜탕,2644011700,부산광역시,강서구,신호동,\N,2644056000,녹산동,264404208456,신호산단4로64번길
217,S0107832,돈까스/일식,4139010200,경기도,시흥시,신천동,\N,4139052000,신천동,413904397629,포도원로116번길
218,S0107833,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
219,S0107834,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
220,S0107835,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
221,S0107836,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
222,S0107837,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
223,S0107838,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411503181036,용현로
224,S0107844,돈까스/일식,4125010300,경기도,동두천시,생연동,\N,4125056500,불현동,412504367202,평화로2349번길
225,S0107845,돈까스/일식,1162010100,서울특별시,관악구,봉천동,\N,1162058500,낙성대동,116203005083,봉천로
226,S0107852,찜탕,4150010100,경기도,이천시,창전동,\N,4150051000,창전동,415003207024,서희로
227,S0107854,카페/디저트,4421010200,충청남도,서산시,동문동,\N,4421052500,동문1동,442104562158,대사동4길
228,S0107862,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343463,호국로1331번길
229,S0107863,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343463,호국로1331번길
230,S0107864,돈까스/일식,4125010200,경기도,동두천시,지행동,\N,4125056500,불현동,412503215066,평화로
231,S0107873,찜탕,4122025330,경기도,평택시,안중읍,현화리,4122025300,안중읍,412204364471,안현로서9길
232,S0107874,찜탕,4122025330,경기도,평택시,안중읍,현화리,4122025300,안중읍,412204364471,안현로서9길
233,S0107875,분식,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190036,샘골로
234,S0107876,분식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181046,천보로
235,S0107882,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181060,시민로
236,S0107883,분식,4115011100,경기도,의정부시,녹양동,\N,4115062000,녹양동,411504343169,비우로92번길
237,S0107885,한식,4817012000,경상남도,진주시,하대동,\N,4817067800,하대동,481703332075,대신로
238,S0107886,한식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
239,S0107887,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
240,S0107888,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
241,S0107889,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
242,S0107890,중식,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745140,동서1길
243,S0107891,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745140,동서1길
244,S0107892,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
245,S0107893,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
246,S0107894,돈까스/일식,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745053,군청길
247,S0107895,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
248,S0107896,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,\N,\N
249,S0107897,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
250,S0107898,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
251,S0107899,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
252,S0107900,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745140,동서1길
253,S0107901,패스트푸드,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745053,군청길
